geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Ophir town, Colorado",8,,55870,,,10855870,95000,13930
"Inverness CDP, Colorado",8,,38910,,,10838910,103462,16194
"Jackson Lake CDP, Colorado",8,,39160,,,10839160,45750,27611
"Jansen CDP, Colorado",8,,39250,,,10839250,53750,17486
"Joes CDP, Colorado",8,,39745,,,10839745,30313,29387
"Johnson Village CDP, Colorado",8,,39800,,,10839800,55993,8838
"Kirk CDP, Colorado",8,,40900,,,10840900,48125,23892
"Laird CDP, Colorado",8,,42000,,,10842000,,
"La Junta Gardens CDP, Colorado",8,,42165,,,10842165,120365,53676
"Lazy Acres CDP, Colorado",8,,44270,,,10844270,149167,29874
"Lewis CDP, Colorado",8,,44595,,,10844595,,
"Leyner CDP, Colorado",8,,44695,,,10844695,,
"Loma CDP, Colorado",8,,45750,,,10845750,115638,52043
"Lynn CDP, Colorado",8,,47015,,,10847015,,
"McCoy CDP, Colorado",8,,47345,,,10847345,131071,52637
"Maybell CDP, Colorado",8,,49325,,,10849325,21429,18010
"Maysville CDP, Colorado",8,,49490,,,10849490,31319,24950
"Midland CDP, Colorado",8,,50380,,,10850380,45134,42285
"Morgan Heights CDP, Colorado",8,,51975,,,10851975,86500,18349
"Mountain Meadows CDP, Colorado",8,,52210,,,10852210,146563,38938
"Mulford CDP, Colorado",8,,52820,,,10852820,115865,24636
"No Name CDP, Colorado",8,,53875,,,10853875,,
"Norrie CDP, Colorado",8,,53945,,,10853945,,
"North La Junta CDP, Colorado",8,,54495,,,10854495,39643,14199
"Orchard CDP, Colorado",8,,55925,,,10855925,56250,27334
"Paragon Estates CDP, Colorado",8,,57445,,,10857445,167250,80017
"Parshall CDP, Colorado",8,,57850,,,10857850,,
"Peoria CDP, Colorado",8,,58510,,,10858510,113000,90096
"Peyton CDP, Colorado",8,,58675,,,10858675,,
"Saddle Ridge CDP, Colorado",8,,66995,,,10866995,,
"St. Ann Highlands CDP, Colorado",8,,67040,,,10867040,97933,69703
"San Acacio CDP, Colorado",8,,67500,,,10867500,24250,15316
"Segundo CDP, Colorado",8,,68985,,,10868985,36250,34819
"Seven Hills CDP, Colorado",8,,69110,,,10869110,134196,125168
"Shaw Heights CDP, Colorado",8,,69480,,,10869480,68333,11902
"Smeltertown CDP, Colorado",8,,71625,,,10871625,77083,43788
"Snyder CDP, Colorado",8,,71790,,,10871790,,
"Ca�on City city, Colorado",8,,11810,,,10811810,46494,3409
"Centennial city, Colorado",8,,12815,,,10812815,109324,2318
"Simla town, Colorado",8,,70635,,,10870635,45227,12776
"Coal Creek town, Colorado",8,,15330,,,10815330,45469,12686
"Lincoln Park CDP, Colorado",8,,45145,,,10845145,50042,11063
"Williamsburg town, Colorado",8,,85155,,,10885155,47692,7011
"Central City city, Colorado",8,,12910,,,10812910,52580,9787
